title,location,text,fraudulent,source
Electrical Engineer,"Randburg, South Africa","Electrical Engineer - consulting firm, Randburg. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 6 years experience in process optimisation. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Randburg offices.",0,synthetic_sa
Jobs in Qatar - visa arranged,"Randburg, South Africa","Workers needed in Qatar. Hotel staff, drivers, cleaners and farm workers. Earn up to R50,000 per month tax free. Visa and flight arranged by our agency. Pay R1350 processing fee and send your passport copy, ID and bank details to WhatsApp 075 665 9903. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Registered Nurse,"Randburg, South Africa","Registered Nurse - private hospital group, Randburg. SANC registration and 3 years trauma experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 25 August. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Metrorail is hiring - apply now,"Midrand, South Africa","Metrorail is hiring packers nationwide. Salary R25,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R150 admin fee into our Nedbank account and WhatsApp proof of payment with your ID number to 075 533 7735. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Metrorail is hiring - apply now,"Pretoria, South Africa","Metrorail is hiring packers nationwide. Salary R30,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R250 admin fee into our TymeBank account and WhatsApp proof of payment with your ID number to 072 532 4006. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Millwright,"Vereeniging, South Africa","Millwright - Vereeniging. Trade tested with 3 years post-qualification experience in FMCG production. Overtime and standby allowance apply. Remuneration R25,000 - R48,000 CTC negotiable on experience. Forward your CV, trade certificate and reference letters to the workshop manager via Careers24. Medical fitness assessment forms part of the selection process.",0,synthetic_sa
Drivers needed urgently,"East London, South Africa","URGENT HIRING!!! Drivers needed in East London. Earn R75,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 071 194 7224. Registration fee of R150 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 8 positions left! 100% guaranteed income.",1,synthetic_sa
Registered Nurse,"Rustenburg, South Africa","Registered Nurse - private hospital group, Rustenburg. SANC registration and 2 years theatre experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 20 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Accounting Teacher,"Bloemfontein, South Africa","High school Accounting teacher - Bloemfontein. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 21 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Drivers wanted - company vehicles,"Johannesburg, South Africa","Drivers with code 8 or 10 needed in Johannesburg. Salary R25,000 plus overtime, company vehicle to take home. To book your assessment slot pay R450 via Absa and WhatsApp your licence copy, ID and banking confirmation to 071 602 8267. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Mine workers wanted,"Steelpoort, South Africa","Mine workers needed urgently in Steelpoort. No experience needed, training provided. R60,000 monthly guaranteed plus living allowance. Pay R100 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 066 324 3881. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Registered Nurse,"Pietermaritzburg, South Africa","Registered Nurse - private hospital group, Pietermaritzburg. SANC registration and 4 years medical ward experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 20 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Cashiers and shelf packers,"Vereeniging, South Africa","A National Clothing Store is hiring cashiers and shelf packers in Vereeniging. R8,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 062 261 1815. A uniform deposit of R650 is payable before training. Immediate start guaranteed for the first 7 applicants.",1,synthetic_sa
Software Developer,"Centurion, South Africa","Software Developer - Junior. Our Centurion-based e-commerce company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 6 years commercial experience; proficiency in Kotlin or TypeScript; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R40,000 - R60,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Registered Nurse,"Randburg, South Africa","Registered Nurse - private hospital group, Randburg. SANC registration and 2 years trauma experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 21 August. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Earn while you learn - agents wanted,"Pretoria, South Africa","Financial agents wanted in Pretoria. Earn commission of R2,500 per day recruiting new members. Invest R500 once-off to activate your agent account and start earning immediately. Your money doubles every 17 days, guaranteed. Send your ID number, cellphone number and Capitec account details on WhatsApp 088 880 4033 to join our winning team.",1,synthetic_sa
Registered Nurse,"Pretoria, South Africa","Registered Nurse - private hospital group, Pretoria. SANC registration and 3 years theatre experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 24 August. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Call Centre Agent,"Cape Town, South Africa","Call centre agents - Cape Town CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 1 year contact centre experience advantageous. R8500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
Software Developer,"Pretoria, South Africa","Software Developer - Senior. Our Pretoria-based fintech company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 6 years commercial experience; proficiency in C# or Java; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R45,000 - R75,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Accountant,"Soweto, South Africa","Cost Accountant - Soweto. Established retail head office seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and Pastel skills, valid driver's licence. Salary R32,000 - R55,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 28 August. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
English Teacher,"Johannesburg, South Africa","High school English teacher - Johannesburg. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 22 September. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Sales Representative,"Cape Town, South Africa","Sales Representative - FMCG, Cape Town. Matric plus 2 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R14,000 - R25,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Software Developer,"Centurion, South Africa","Software Developer - Senior. Our Centurion-based e-commerce company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 4 years commercial experience; proficiency in Java or C#; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R35,000 - R75,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Cashiers and shelf packers,"Cape Town, South Africa","A National Clothing Store is hiring cashiers and shelf packers in Cape Town. R12,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 067 179 6129. A uniform deposit of R550 is payable before training. Immediate start guaranteed for the first 18 applicants.",1,synthetic_sa
Afrikaans Teacher,"Pietermaritzburg, South Africa","High school Afrikaans teacher - Pietermaritzburg. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 10 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Cashiers and shelf packers,"Centurion, South Africa","A Leading Supermarket Group is hiring cashiers and shelf packers in Centurion. R12,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 081 420 7992. A uniform deposit of R350 is payable before training. Immediate start guaranteed for the first 13 applicants.",1,synthetic_sa
Earn while you learn - agents wanted,"George, South Africa","Financial agents wanted in George. Earn commission of R1,200 per day recruiting new members. Invest R700 once-off to activate your agent account and start earning immediately. Your money doubles every 29 days, guaranteed. Send your ID number, cellphone number and Absa account details on WhatsApp 074 357 4777 to join our winning team.",1,synthetic_sa
Models and promoters wanted,"Gqeberha, South Africa","Modelling agency in Gqeberha is recruiting new faces. No experience needed, earn up to R750 per shoot. Send full-length photos, your ID number and home address on WhatsApp 077 216 2070. A once-off portfolio fee of R800 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Industrial Engineer,"Cape Town, South Africa","Industrial Engineer - consulting firm, Cape Town. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 4 years experience in process optimisation. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Cape Town offices.",0,synthetic_sa
Graduate Programme,"Cape Town, South Africa",Graduate Programme 2027 - national mining house. Honours degree in Finance or related field with strong academic record. Structured 24-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 30 August.,0,synthetic_sa
Administrative Assistant,"Polokwane, South Africa","Administrative assistant - Polokwane. Requirements: matric with 3 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Pastel and general office support. Salary R12,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Sales Representative,"Gqeberha, South Africa","Sales Representative - office automation, Gqeberha. Matric plus 4 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R16,000 - R28,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Paid learnership - no matric needed,"Polokwane, South Africa","Learnership opportunity in Polokwane paying R6500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R650 registration to our Standard Bank account. WhatsApp your name, ID number and proof of payment to 074 782 1153. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Drivers wanted - company vehicles,"Vereeniging, South Africa","Drivers with code 8 or 10 needed in Vereeniging. Salary R30,000 plus overtime, company vehicle to take home. To book your assessment slot pay R650 via Capitec and WhatsApp your licence copy, ID and banking confirmation to 087 817 5951. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Jobs in the UK - visa arranged,"Polokwane, South Africa","Workers needed in the UK. Hotel staff, drivers, cleaners and farm workers. Earn up to R45,000 per month tax free. Visa and flight arranged by our agency. Pay R1500 processing fee and send your passport copy, ID and bank details to WhatsApp 066 295 9327. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Graduate Programme,"Cape Town, South Africa",Graduate Programme 2026 - national bank. Honours degree in Finance or related field with strong academic record. Structured 12-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 19 August.,0,synthetic_sa
Sales Representative,"Rustenburg, South Africa","Sales Representative - office automation, Rustenburg. Matric plus 2 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R16,000 - R28,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Mathematics Teacher,"Welkom, South Africa","High school Mathematics teacher - Welkom. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 5 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Call Centre Agents needed urgently,"Kimberley, South Africa","URGENT HIRING!!! Call Centre Agents needed in Kimberley. Earn R75,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 088 723 4258. Registration fee of R200 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 8 positions left! 100% guaranteed income.",1,synthetic_sa
Accountant,"Randburg, South Africa","Cost Accountant - Randburg. Established manufacturing group seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and Sage skills, valid driver's licence. Salary R22,000 - R40,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 12 October. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
Models and promoters wanted,"Polokwane, South Africa","Modelling agency in Polokwane is recruiting new faces. No experience needed, earn up to R900 per shoot. Send full-length photos, your ID number and home address on WhatsApp 081 260 1043. A once-off portfolio fee of R800 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Drivers wanted - company vehicles,"Soweto, South Africa","Drivers with code 8 or 10 needed in Soweto. Salary R50,000 plus overtime, company vehicle to take home. To book your assessment slot pay R400 via Standard Bank and WhatsApp your licence copy, ID and banking confirmation to 065 322 8264. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Accounting Teacher,"Pietermaritzburg, South Africa","High school Accounting teacher - Pietermaritzburg. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 18 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Paid learnership - no matric needed,"Welkom, South Africa","Learnership opportunity in Welkom paying R5500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R750 registration to our Standard Bank account. WhatsApp your name, ID number and proof of payment to 066 381 1132. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Models and promoters wanted,"Bloemfontein, South Africa","Modelling agency in Bloemfontein is recruiting new faces. No experience needed, earn up to R1,200 per shoot. Send full-length photos, your ID number and home address on WhatsApp 061 161 3718. A once-off portfolio fee of R600 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Administrative Assistant,"Pietermaritzburg, South Africa","Administrative assistant - Pietermaritzburg. Requirements: matric with 4 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Pastel and general office support. Salary R16,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Drivers wanted - company vehicles,"George, South Africa","Drivers with code 8 or 10 needed in George. Salary R60,000 plus overtime, company vehicle to take home. To book your assessment slot pay R250 via Absa and WhatsApp your licence copy, ID and banking confirmation to 073 523 6553. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Baggage Handlers needed urgently,"Durban, South Africa","URGENT HIRING!!! Baggage Handlers needed in Durban. Earn R25,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 083 891 5741. Registration fee of R150 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 6 positions left! 100% guaranteed income.",1,synthetic_sa
Call Centre Agent,"Pretoria, South Africa","Call centre agents - Pretoria CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 6 months contact centre experience advantageous. R9500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
Mine workers wanted,"Emalahleni, South Africa","Mine workers needed urgently in Emalahleni. No experience needed, training provided. R25,000 monthly guaranteed plus living allowance. Pay R200 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 063 492 3503. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Call Centre Agent,"Cape Town, South Africa","Call centre agents - Cape Town CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 1 year contact centre experience advantageous. R9500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
SASSA is hiring - apply now,"Sandton, South Africa","SASSA is hiring data capturers nationwide. Salary R50,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R450 admin fee into our Capitec account and WhatsApp proof of payment with your ID number to 063 165 6539. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Paid learnership - no matric needed,"Durban, South Africa","Learnership opportunity in Durban paying R6500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R550 registration to our Nedbank account. WhatsApp your name, ID number and proof of payment to 067 697 3344. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Jobs in Canada - visa arranged,"Welkom, South Africa","Workers needed in Canada. Hotel staff, drivers, cleaners and farm workers. Earn up to R25,000 per month tax free. Visa and flight arranged by our agency. Pay R600 processing fee and send your passport copy, ID and bank details to WhatsApp 078 767 8245. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Accountant,"Vereeniging, South Africa","Junior Accountant - Vereeniging. Established audit firm seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and Pastel skills, valid driver's licence. Salary R28,000 - R40,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 14 October. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
Metrorail is hiring - apply now,"Centurion, South Africa","Metrorail is hiring general workers nationwide. Salary R30,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R400 admin fee into our Capitec account and WhatsApp proof of payment with your ID number to 074 902 8454. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Software Developer,"Sandton, South Africa","Software Developer - Senior. Our Sandton-based insurtech company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 6 years commercial experience; proficiency in Java or C#; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R40,000 - R60,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Work from home opportunity,"Vereeniging, South Africa","Earn R1,200 per day stuffing envelopes at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R400 joining fee via TymeBank and WhatsApp your full names, ID number and address to our agent on 064 393 4443. Payment is released every Friday, guaranteed. First 37 applicants only.",1,synthetic_sa
Cashiers and shelf packers,"Mbombela, South Africa","A Major Retail Chain is hiring cashiers and shelf packers in Mbombela. R9,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 078 885 1430. A uniform deposit of R550 is payable before training. Immediate start guaranteed for the first 13 applicants.",1,synthetic_sa
Work from home opportunity,"Mbombela, South Africa","Earn R1,200 per day typing documents at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R150 joining fee via FNB eWallet and WhatsApp your full names, ID number and address to our agent on 074 261 8179. Payment is released every Friday, guaranteed. First 44 applicants only.",1,synthetic_sa
Physical Sciences Teacher,"Gqeberha, South Africa","High school Physical Sciences teacher - Gqeberha. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 15 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Graduate Programme,"Johannesburg, South Africa",Graduate Programme 2026 - national bank. Honours degree in Statistics or related field with strong academic record. Structured 18-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 27 August.,0,synthetic_sa
Mine workers wanted,"Kathu, South Africa","Mine workers needed urgently in Kathu. No experience needed, training provided. R50,000 monthly guaranteed plus living allowance. Pay R750 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 086 950 9976. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Models and promoters wanted,"Kimberley, South Africa","Modelling agency in Kimberley is recruiting new faces. No experience needed, earn up to R2,000 per shoot. Send full-length photos, your ID number and home address on WhatsApp 074 682 1986. A once-off portfolio fee of R1100 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Administrative Assistant,"Midrand, South Africa","Administrative assistant - Midrand. Requirements: matric with 3 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Sage and general office support. Salary R18,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Models and promoters wanted,"Mbombela, South Africa","Modelling agency in Mbombela is recruiting new faces. No experience needed, earn up to R750 per shoot. Send full-length photos, your ID number and home address on WhatsApp 063 790 1339. A once-off portfolio fee of R1300 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Diesel Mechanic,"Durban, South Africa","Diesel Mechanic - Durban. Trade tested with 6 years post-qualification experience in packaging plants. Overtime and standby allowance apply. Remuneration R25,000 - R42,000 CTC negotiable on experience. Forward your CV, trade certificate and reference letters to the workshop manager via Careers24. Medical fitness assessment forms part of the selection process.",0,synthetic_sa
Drivers wanted - company vehicles,"Kimberley, South Africa","Drivers with code 8 or 10 needed in Kimberley. Salary R45,000 plus overtime, company vehicle to take home. To book your assessment slot pay R500 via TymeBank and WhatsApp your licence copy, ID and banking confirmation to 071 912 2874. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Paid learnership - no matric needed,"Sandton, South Africa","Learnership opportunity in Sandton paying R3500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R650 registration to our FNB eWallet account. WhatsApp your name, ID number and proof of payment to 070 734 6374. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Call Centre Agents needed urgently,"Pretoria, South Africa","URGENT HIRING!!! Call Centre Agents needed in Pretoria. Earn R25,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 084 350 4657. Registration fee of R200 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 14 positions left! 100% guaranteed income.",1,synthetic_sa
Work from home opportunity,"Bloemfontein, South Africa","Earn R900 per day typing documents at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R200 joining fee via Absa and WhatsApp your full names, ID number and address to our agent on 062 854 6442. Payment is released every Friday, guaranteed. First 36 applicants only.",1,synthetic_sa
Earn while you learn - agents wanted,"Kimberley, South Africa","Financial agents wanted in Kimberley. Earn commission of R2,500 per day recruiting new members. Invest R1100 once-off to activate your agent account and start earning immediately. Your money doubles every 18 days, guaranteed. Send your ID number, cellphone number and Absa account details on WhatsApp 088 452 7971 to join our winning team.",1,synthetic_sa
Sales Representative,"Cape Town, South Africa","Sales Representative - pharmaceutical, Cape Town. Matric plus 4 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R14,000 - R28,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Jobs in Canada - visa arranged,"Gqeberha, South Africa","Workers needed in Canada. Hotel staff, drivers, cleaners and farm workers. Earn up to R50,000 per month tax free. Visa and flight arranged by our agency. Pay R1200 processing fee and send your passport copy, ID and bank details to WhatsApp 087 193 8700. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Call Centre Agent,"Johannesburg, South Africa","Call centre agents - Johannesburg CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 1 year contact centre experience advantageous. R8500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
