record_id,source,job_id,title,company,company_url,location,work_from_home,salary,salary_disclosed,employment_type,work_type,job_level,ee_status,posted_raw,posted_date,expires,reference,description,description_length,has_description,url,search_scope,scraped_date,description_source,salary_detail_from_page,desired_skills
CJ-0011,CareerJunction,2642632,Financial Modeller at Ntice Sourcing Solutions (Pty) Ltd.,NTICE SOURCING SOLUTIONS (PTY) LTD.,https://www.careerjunction.co.za/companies/33092/ntice-sourcing-solutions-pty-ltd,KwaZulu-Natal,Yes,R Undisclosed,No,Permanent,,Senior,,12 Aug 2026,2026-08-12,in 4 days,69137,"Join a specialist infrastructure and project finance advisory team. Developing sophisticated financial models that support major infrastructure, energy, transport, water and PPP transactions. Role offers outstanding exposure to complex transactions and a clear pathway into transaction advisory.",295,Yes,https://www.careerjunction.co.za/financial-modeller-at-ntice-sourcing-solutions-pty-ltd-job-2642632.aspx,Jobs in kwazulu-natal; Work from home; CareerJunction - work from home,2026-08-16,job page (full text),,
CJ-0012,CareerJunction,2642658,Visual Merchandising Manager at Sabenza IT & Recruitment,DCV Sabenza IT and Recruitment,https://www.careerjunction.co.za/companies/32616/dcv-sabenza-it-and-recruitment,Durban (Durban CBD),No,R01 - R02 per month,Placeholder,Permanent,,Senior,,13 Aug 2026,2026-08-13,,878000021899074,"Lead the visual presentation of retail spaces, ensuring a cohesive brand image and an engaging customer experience. Role and responsibilities: Ensuring strategy is in line with Brand vision. Consistent product presentation in store and marketing. Plan photo and videography shoots. Manage seasonal signage and distribution. Create store navigation (flow of product/departments). Qualification and experience: Minimum 5 years' managerial role experience. 5+ years visual merchandising and design experience (Clothing Retail preferred). Technical skills in software (Adobe Illustrator, Photoshop, Mockshop).",605,Yes,https://www.careerjunction.co.za/visual-merchandising-manager-at-sabenza-it-%26-recruitment-job-2642658.aspx,Jobs in kwazulu-natal,2026-08-16,job page (full text),,
CJ-0013,CareerJunction,2642661,Visual Merchandising Manager at Sabenza IT & Recruitment,DCV Sabenza IT and Recruitment,https://www.careerjunction.co.za/companies/32616/dcv-sabenza-it-and-recruitment,Durban (Durban CBD),No,R01 - R02 per month,Placeholder,Permanent,,Senior,,13 Aug 2026,2026-08-13,,878000021899074,"Lead the visual presentation of retail spaces, ensuring a cohesive brand image and an engaging customer experience. Role and responsibilities: Ensuring strategy is in line with Brand vision. Consistent product presentation in store and marketing. Plan photo and videography shoots. Manage seasonal signage and distribution. Create store navigation (flow of product/departments). Qualification and experience: Minimum 5 years' managerial role experience. 5+ years visual merchandising and design experience (Clothing Retail preferred). Technical skills in software (Adobe Illustrator, Photoshop, Mockshop).",605,Yes,https://www.careerjunction.co.za/visual-merchandising-manager-at-sabenza-it-%26-recruitment-job-2642661.aspx,Jobs in kwazulu-natal,2026-08-16,"job page (full text, mirrored from twin posting)",,
CJ-0014,CareerJunction,2642696,Contracts Manager,Hire Resolve,https://www.careerjunction.co.za/companies/24781/hire-resolve,Cape Town,No,"R41,700 - R75,000 per month",Yes,Permanent,,Senior,,15 Aug 2026,2026-08-15,in 7 days,194587,"Established plumbing and construction contractor specialising in commercial and residential plumbing installations. Responsibilities: Plan projects ahead of time for profitable delivery. Manage site requirements and attend meetings with main contractors. Quality control and reporting across all sites. Manage project profitability, budgets, and material procurement. Monitor progress against construction programmes. Key Requirements: 5-10 years' experience within the plumbing industry. Previous experience as a Contracts Manager managing multiple construction sites. Strong written and verbal communication skills.",617,Yes,https://www.careerjunction.co.za/contracts-manager-job-2642696.aspx,Jobs in western cape,2026-08-16,job page (full text),,
CJ-0015,CareerJunction,2642697,Operations Coordinator,Hire Resolve,https://www.careerjunction.co.za/companies/24781/hire-resolve,Cape Town,No,"R29,200 - R37,500 per month",Yes,Permanent,,Senior,,15 Aug 2026,2026-08-15,in 7 days,194590,"Highly organised and proactive individual to support the day-to-day coordination of operational activities in the water solutions industry. Key responsibilities: Administrative support for logistics and operations. Strong organisational and time management skills. High attention to detail and strong problem-solving skills. Proficient in Microsoft Office Suite, particularly Excel. Experience using ERP or CRM systems is advantageous. Requirements: 2-5 years' experience in an operations coordination or administrative role.",525,Yes,https://www.careerjunction.co.za/operations-coordinator-job-2642697.aspx,Jobs in western cape,2026-08-16,job page (full text),,
CJ-0016,CareerJunction,2642698,Sales Engineer,Fusion Personnel,https://www.careerjunction.co.za/companies/37564/fusion-personnel,Gauteng,No,R Undisclosed,No,Permanent,,Intermediate,,15 Aug 2026,2026-08-15,in 7 days,JHB006218,"Experienced Sales Engineer with a strong background in the OEM and Mining industry. Key Responsibilities: Develop and maintain strong relationships with existing and prospective clients. Identify new business opportunities and grow market share. Prepare accurate quotations, tenders, and technical proposals. Negotiate commercial agreements and manage the tender process. Provide technical support and value-added engineering solutions. Minimum Requirements: 5-8 years' engineering sales experience within OEM and Mining. Willing to travel extensively and stay on-site or in-country for extended periods.",604,Yes,https://www.careerjunction.co.za/sales-engineer-job-2642698.aspx,All Jobs in All Locations,2026-08-16,job page (full text),,
CJ-0017,CareerJunction,2642699,Financial Accountant,Hire Resolve,https://www.careerjunction.co.za/companies/24781/hire-resolve,Montagu,No,"R37,500 - R45,800 per month",Yes,Permanent,,Specialist,,15 Aug 2026,2026-08-15,in 7 days,194631,"Overseeing core financial operations, IFRS-compliant reporting, statutory reconciliations, and inventory transaction management within a high-volume food manufacturing/FMCG environment. Key Performance Areas: Oversee daily billing and payment processing. General Ledger & IFRS processing (journal entries). Asset & Inventory management. Statutory compliance (SARS VAT, EMP201, Income Tax). Minimum Requirements: Bachelor's Degree in Accounting. Minimum 5 years of experience in an Accountant position. Strong command of IFRS and statutory tax processes.",553,Yes,https://www.careerjunction.co.za/financial-accountant-job-2642699.aspx,All Jobs in All Locations; Jobs in western cape; CareerJunction - all jobs,2026-08-16,job page (full text),,
CJ-0018,CareerJunction,2642700,Cost Accountant,Network Contracting Solutions,https://www.careerjunction.co.za/companies/31530/network-contracting-solutions,Ferreiras Dorp,No,"R40,000 - R50,000 per month",Yes,Contract,,Senior,,15 Aug 2026,2026-08-15,in 2 days,NCM003229,"Standard costing guru who will process financial information, ascertain and analyse costs and support stakeholders with the interpretation of financial information. Key responsibilities: Develop and maintain standard costing models for raw materials and labour. Analyse cost variances and investigate root causes. Monitor and reconcile Work in Progress (WIP) balances. Review and validate Bills of Materials (BOMs). Perform inventory valuation and stock reconciliations. Qualification: Completed Degree in Accounting/Finance. CIMA registration (non-negotiable). 5+ years' experience in a similar role within Manufacturing.",622,Yes,https://www.careerjunction.co.za/cost-accountant-job-2642700.aspx,All Jobs in All Locations,2026-08-16,job page (full text),,
CJ-0019,CareerJunction,2642701,Kafka Specialist at Datonomy Solutions,Datonomy Solutions (Cape Town),https://www.careerjunction.co.za/companies/31023/datonomy-solutions-cape-town,Sandton,No,"R90,000 - R110,000 per month",Yes,Contract,,Specialist,,07 Aug 2026,2026-08-07,in 1 day,849,"Technology Specialist - Kafka to design, administer, automate, secure, and optimise enterprise Kafka platforms supporting mission-critical banking applications. Key Responsibilities: Install, configure, and maintain enterprise Kafka clusters (Confluent Platform/Cloud). Optimise performance, throughput and latency. Develop and maintain automation (Terraform, Ansible, Python, CI/CD). Provide specialist Linux administration. Design and maintain secure Kafka environments (TLS/SSL, SASL). Minimum Requirements: 6+ years' experience in Systems/Platform/Infrastructure Engineering. 4+ years' hands-on Kafka administration. Experience with highly available distributed systems.",674,Yes,https://www.careerjunction.co.za/kafka-specialist-at-datonomy-solutions-job-2642701.aspx,All Jobs in All Locations; CareerJunction - all jobs,2026-08-16,job page (full text),,
CJ-0020,CareerJunction,2642703,Key Accounts Manager (Retail Accounts),The Talent Experts,https://www.careerjunction.co.za/companies/32956/the-talent-experts,Krugersdorp,Yes,Undisclosed,No,Permanent,,Intermediate,,15 Aug 2026,2026-08-15,in 7 days,SB,"An account manager role in the horticultural/retail supply sector, owning national retail accounts and driving profitable growth through relationship management, demand forecasting, pricing negotiation, and stock/merchandising coordination with store teams. Office-based during onboarding, 2 WFH days after probation; requires occasional Saturday and public-holiday work. Needs Matric, 3-5 years' retail/key-account experience, Afrikaans fluency, strong Excel/reporting skills, and a driver's licence. Basic salary plus travel/cell allowance plus uncapped commission, Mon-Fri 07:00-16:00.",588,Yes,https://www.careerjunction.co.za/key-accounts-manager-retail-accounts-job-2642703.aspx,All Jobs in All Locations; Work from home; CareerJunction - work from home,2026-08-16,"job page (summarised, URL verified)",,
CJ-0021,CareerJunction,2642705,Bookkeeper,Fusion Personnel,https://www.careerjunction.co.za/companies/37564/fusion-personnel,South Africa,No,"R30,000 - R40,000 per month",Yes,Permanent,,Intermediate,,06 Aug 2026,2026-08-06,in 2 days,JHB006219,"A full bookkeeping function for an established FMCG-adjacent company: debtor/creditor processing on Xero, supplier payments (local and foreign), consignment stock reconciliations, cashbook and bank reconciliations, month-end journals, fixed asset register, BEE/SARB compliance admin, and audit prep. Needs Matric plus 3-5 years' bookkeeping experience, Xero proficiency essential, FMCG exposure advantageous, strong Excel skills.",429,Yes,https://www.careerjunction.co.za/bookkeeper-job-2642705.aspx,All Jobs in All Locations; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0022,CareerJunction,2642706,Information Systems Engineer,Network Contracting Solutions,https://www.careerjunction.co.za/companies/31530/network-contracting-solutions,South Africa,No,"R50,000 - R75,000 per month",Yes,Permanent,,Senior,,07 Aug 2026,2026-08-07,in 2 days,NCM003230,"A systems analyst/engineer role in a property investment company's finance and operations team, bridging business and IT - optimizing platforms across billing, leasing, and asset management, building dashboards (arrears, cashflow, budgeting), leading system upgrades/integrations, and liaising between stakeholders and vendors. Requires a bachelor's degree in Information Systems/Finance/Accounting, 5-7 years as a systems analyst, property/financial-services exposure preferred, Power BI and basic SQL a plus.",510,Yes,https://www.careerjunction.co.za/information-systems-engineer-job-2642706.aspx,All Jobs in All Locations; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0023,CareerJunction,2642707,General Manager: Civil Materials Laboratory (SANAS),Watershed Consulting,https://www.careerjunction.co.za/companies/25618/watershed-consulting,Germiston,No,"R60,000 - R80,000 per month",Yes,Permanent,,Management,,07 Aug 2026,2026-08-07,in 7 days,GMCM,"Full P&L and operational leadership of a construction-materials testing lab, covering strategy, budgets, ISO 9001/SANAS compliance, SHEQ, staff leadership, and client/stakeholder relationships with consultants, contractors, and regulators. Needs a degree/diploma in Business Management, Engineering or Operations, 12-15 years in construction management, and hands-on P&L accountability experience.",397,Yes,https://www.careerjunction.co.za/general-manager-civil-materials-laboratory-sanas-job-2642707.aspx,All Jobs in All Locations; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0024,CareerJunction,2642710,Business Analyst (CH1202),Capital H Staffing,https://www.careerjunction.co.za/companies/30732/capital-h-staffing,Plankenbrug,No,R Undisclosed,No,Permanent,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,7efd3c99-d2d1-4,"BA role at a payment aggregator, translating business needs into requirements for new payment products - gathering/documenting requirements, supporting PMO backlog grooming and UAT, managing BA documentation. Needs a relevant tertiary qualification, 3-5 years BA experience, solid understanding of the payments ecosystem (EFT, acquiring, card schemes, settlement), and familiarity with Jira/Confluence/Visio. Driver's licence required.",435,Yes,https://www.careerjunction.co.za/business-analyst-ch1202-job-2642710.aspx,All Jobs in All Locations; Jobs in western cape; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0025,CareerJunction,2642711,Senior Credit Controller (Maternity Cover),Jordan HR,https://www.careerjunction.co.za/companies/27734/jordan-hr,Midrand,No,R130.00 - R160.00 per hour,Yes,Temporary,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,23 July 2026,"A temp credit-control role managing large corporate accounts (R100m+ book value, 1000+ transactions): cash allocation, reducing past-due/bad debt, negotiating payment plans, and liaising with FDs/EHODs to resolve disputes. Needs Matric, 2-5 years' credit control experience on large corporate accounts, advanced Excel, SAP and Eppix knowledge.",343,Yes,https://www.careerjunction.co.za/senior-credit-controller-maternity-cover-job-2642711.aspx,All Jobs in All Locations; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0026,CareerJunction,2642712,Sales Development Representative Manager - SaaS Sales (Hybrid),Sales Fraternity,https://www.careerjunction.co.za/companies/37163/sales-fraternity,Johannesburg,Yes,R Undisclosed,No,Permanent,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,,"Leading an existing offshore outbound SDR team while building a new local SA team from scratch, owning a proven LinkedIn/email leaderboard outbound playbook, personally testing new outbound plays before scaling them, and managing tools like Sales Navigator, Lemlist, HubSpot, and Clay. Needs 4+ years SDR/BDR experience with team-lead/management exposure, strong personal outbound track record, and ideally a background in Martech/SaaS or outbound-first orgs (Salesloft, Apollo, Outreach). Salary negotiable.",508,Yes,https://www.careerjunction.co.za/sales-development-representative-manager-saas-sales-hybrid-job-2642712.aspx,All Jobs in All Locations; Work from home; CareerJunction - all jobs; CareerJunction - work from home,2026-08-16,"job page (summarised, URL verified)",,
CJ-0027,CareerJunction,2642713,Sales Development Representative - SaaS Sales (Remote),Sales Fraternity,https://www.careerjunction.co.za/companies/37163/sales-fraternity,Johannesburg,Yes,R Undisclosed,No,Permanent,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,,"An individual-contributor SDR role executing the same leaderboard-led outbound playbook - LinkedIn sourcing/outreach, email sequencing via Lemlist, cold calling, and booking meetings for Account Executives via Chili Piper. Needs 2-5 years SDR/BDR experience, comfort with cold calling, multi-channel outbound experience, and ideally B2B SaaS/Martech exposure. Remote initially, reports to the SDR Manager. Salary negotiable.",424,Yes,https://www.careerjunction.co.za/sales-development-representative-saas-sales-remote-job-2642713.aspx,All Jobs in All Locations; Work from home; CareerJunction - all jobs; CareerJunction - work from home,2026-08-16,"job page (summarised, URL verified)",,
CJ-0028,CareerJunction,2642714,Medical Representative,Manpower SA (Pty) Ltd.,https://www.careerjunction.co.za/companies/23095/manpower-sa-pty-ltd,Cape Town,No,R Undisclosed,No,Permanent,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,CPT003638,"Pharma sales role promoting a prescription/OTC product portfolio to GPs, specialists, pharmacists and hospitals, with territory planning, scientific detailing, competitor monitoring, and pharmacovigilance/compliance reporting. Needs a bachelor's degree in Pharmacy, Medicine, Life Sciences or related field, 2-3 years' pharma sales experience, English/Afrikaans fluency, MS Office proficiency, and a driver's licence with willingness to travel extensively.",456,Yes,https://www.careerjunction.co.za/medical-representative-job-2642714.aspx,All Jobs in All Locations; Jobs in western cape; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0029,CareerJunction,2642715,Medical Representative,Manpower SA (Pty) Ltd.,https://www.careerjunction.co.za/companies/23095/manpower-sa-pty-ltd,Cape Town,No,R Undisclosed,No,Permanent,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,CPT003639,"Pharma sales role promoting a prescription/OTC product portfolio to GPs, specialists, pharmacists and hospitals, with territory planning, scientific detailing, competitor monitoring, and pharmacovigilance/compliance reporting. Needs a bachelor's degree in Pharmacy, Medicine, Life Sciences or related field, 2-3 years' pharma sales experience, English/Afrikaans fluency, MS Office proficiency, and a driver's licence with willingness to travel extensively.",456,Yes,https://www.careerjunction.co.za/medical-representative-job-2642715.aspx,All Jobs in All Locations; Jobs in western cape; CareerJunction - all jobs,2026-08-16,"job page (summarised, URL verified)",,
CJ-0030,CareerJunction,2642716,Medical Representative,Manpower SA (Pty) Ltd.,https://www.careerjunction.co.za/companies/23095/manpower-sa-pty-ltd,Durban (Durban CBD),No,R Undisclosed,No,Permanent,,Intermediate,,15 Aug 2026,2026-08-15,in 7 days,CPT003640,"Pharma sales role promoting a prescription/OTC product portfolio to GPs, specialists, pharmacists and hospitals, with territory planning, scientific detailing, competitor monitoring, and pharmacovigilance/compliance reporting. Needs a bachelor's degree in Pharmacy, Medicine, Life Sciences or related field, 2-3 years' pharma sales experience, English/Afrikaans fluency, MS Office proficiency, and a driver's licence with willingness to travel extensively.",456,Yes,https://www.careerjunction.co.za/medical-representative-job-2642716.aspx,Jobs in kwazulu-natal,2026-08-16,"job page (summarised, URL verified)",,
CJ-0031,CareerJunction,2642718,Ocean Freight Import Controller at Ntice Sourcing Solutions (Pty) Ltd.,NTICE SOURCING SOLUTIONS (PTY) LTD.,https://www.careerjunction.co.za/companies/33092/ntice-sourcing-solutions-pty-ltd,Durban (Durban CBD),No,R Undisclosed,No,Permanent,,Intermediate,,07 Aug 2026,2026-08-07,in 7 days,69335,"International leader in Clearing & Forwarding seeking an experienced Ocean Freight Import Controller. Responsibility for planning, coordinating and managing Ocean Import shipments from booking to final delivery. Requirements: Grade 12, CargoWise experience, 3+ years in Ocean Imports, knowledge of Incoterms and Customs legislation.",332,Yes,https://www.careerjunction.co.za/ocean-freight-import-controller-at-ntice-sourcing-solutions-pty-ltd-job-2642718.aspx,All Jobs in All Locations; Jobs in kwazulu-natal; CareerJunction - all jobs,2026-08-16,job page (summarised),"R30,000 - R35,000 CTC per month",
